이름,이미지,맛,종류
"켈로그 프링글스 스윗마요치즈, 110g, 12개입",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8427135119112510-be27c4a9-b551-455d-86df-0bd589229e11.jpg,"달콤한맛, 새콤한맛",감자과자
"아로마트러플 블랙써머 트러플 포테이토칩 오리지널, 100g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/12/11/8/380a219b-37e0-477b-a505-bf266456b41d.jpg,달콤한맛,감자과자
"가루비 자가비 크림치즈 맛 35g 12봉지 스낵 과자, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/be00/ff53e76eef221f5c16968f1830f1e930f205e490443fa35ec115b8330074.jpg,달콤한맛,감자과자
No Brand 노브랜드 감자칩 고구마칩 110g 3종 오리지널 샤워크림앤어니언 자색고구마 혼합 택1,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/efd3/4d3b48bf6230395da046ee8907983cc1449756b874fb023b216c83f15e6a.png,달콤한맛,감자과자
"켈로그 프링글스 버터카라멜, 110g, 12개입",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8427315327172585-7f8c094e-79d2-4a1f-8138-5260cedc08df.jpg,달콤한맛,감자과자
"WIN2 위니 포테이토 크리스프 씨푸드맛 (15g X 60개입) 900g, 2개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3662/a4d9241330f77754c8ce81392013729490dd2006c7b51edfd09f4b1cbe68.jpg,달콤한맛,감자과자
"Win2 해피무 1+1 버터맛, 480g, 1세트",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8e33/85ebcb870bf28e4dab7f937c3abefc5247ece9dd9f4e6a82f950d1f5a735.jpg,달콤한맛,감자과자
"해태제과 허니버터칩, 120g, 12개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8658921531412046-9b5fee49-90a6-4b7f-a510-e84b55827773.jpg,달콤한맛,감자과자
"가루비 자가리코 매운 칠리 오일 치킨 맛 52g 12개 일본 스낵 과자, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/69ed/c04c37d281db8aad2dd566bb560083bc776672379d4d0e25f0bf65286662.jpg,달콤한맛,감자과자
"레이즈 독특한맛 lays 3ea가재구이맛 스테이크 타코야끼 베이징구스맛, 가재구이 60gx3팩",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e36f/2afa04f7bdc7b984ff4a8a2957c2caf62c2d64ab9da7f4b35a5e916fe452.png,달콤한맛,감자과자
"프링글스 버터 카라멜, 110g, 5개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2959/fbaafd7619721006ad380ba380c1072c8acc449fa4fa3b9edb9276400268.jpg,달콤한맛,감자과자
"Win Win 포테이토 크리스프 스위트콘맛 75g 옥수수맛 수입 과자 (15g X 5개입), 5개, 15g",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/03c0/8fac22da5b37e0b7db469e9c57ce4bb04ddb0eb2961505fde8488d036a74.jpg,달콤한맛,감자과자
"해태제과 허니버터칩, 120g, 6개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f1f2/913256f7d44182da7f62141dad1f3baef20caca31dda965e542d67aad33e.jpg,달콤한맛,감자과자
"가루비 포테이토칩 빅백 일본 감자 스낵 152g 12봉, 김 맛",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8b84/bc210fb957c58e74ee90211b78690485a2eb548dec793eb3e82526a0257a.jpg,달콤한맛,감자과자
