snack_id	name	image	flavor	type_id
1	해태제과 허니버터칩	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2176527173461804-7f6df6ac-4452-447a-abff-fe910190a27c.jpg	달콤한맛	감자과자
2	켈로그 프링글스 버터카라멜	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8428453367589017-a10d689b-14f4-4e29-9526-49c84f82a51a.jpg	달콤한맛	감자과자
3	켈로그 프링글스 스윗마요치즈	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8427135119112510-be27c4a9-b551-455d-86df-0bd589229e11.jpg	달콤한맛	감자과자
4	No Brand 노브랜드 감자칩 고구마칩 110g 3종 오리지널 샤워크림앤어니언 자색고구마 혼합 택1	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/efd3/4d3b48bf6230395da046ee8907983cc1449756b874fb023b216c83f15e6a.png	달콤한맛	감자과자
5	켈로그 프링글스 버터카라멜	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8427315327172585-7f8c094e-79d2-4a1f-8138-5260cedc08df.jpg	달콤한맛	감자과자
6	아로마트러플 블랙써머 트러플 포테이토칩 오리지널	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/12/11/8/380a219b-37e0-477b-a505-bf266456b41d.jpg	달콤한맛	감자과자
7	가루비 포테이토칩 빅백 일본 감자 스낵 152g 12봉	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8b84/bc210fb957c58e74ee90211b78690485a2eb548dec793eb3e82526a0257a.jpg	달콤한맛	감자과자
8	Win2 해피무 1+1 버터맛	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8e33/85ebcb870bf28e4dab7f937c3abefc5247ece9dd9f4e6a82f950d1f5a735.jpg	달콤한맛	감자과자
9	해태제과 허니버터칩	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1218161943593611-7a0cb5d8-093c-44d8-af2d-89adfbbb2683.jpg	달콤한맛	감자과자
10	WIN2 위니 포테이토 크리스프 씨푸드맛 (15g X 60개입) 900g	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3662/a4d9241330f77754c8ce81392013729490dd2006c7b51edfd09f4b1cbe68.jpg	달콤한맛	감자과자
11	프링글스 버터 카라멜	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2959/fbaafd7619721006ad380ba380c1072c8acc449fa4fa3b9edb9276400268.jpg	달콤한맛	감자과자
12	Win Win 포테이토 크리스프 스위트콘맛 75g 옥수수맛 수입 과자 (15g X 5개입)	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/03c0/8fac22da5b37e0b7db469e9c57ce4bb04ddb0eb2961505fde8488d036a74.jpg	달콤한맛	감자과자
13	이탈리안 블랙 트러플 솔트 5온스 재밀봉 가능한 파우치 - 샌프란시스코 컴퍼니	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/84fc/b2822420c5b2e6d973828860df3f0292969062113758182dba4d900472a6.jpg	달콤한맛	감자과자
14	블랙 트러플 소금 시즈닝 이탈리아 오일로 맛을 낸 미식가 바다 4oz 항아리	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3453/b39ab02244c5f7c5bf9ec2f4bc9c2a456aaafa854f3905413d662184d00c.jpg	달콤한맛	감자과자
15	코이케야 새콤 카라무초 양념치킨맛 포테이토칩 감자과자 53gx12개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c85a/2796accd1912715c8c14ee3e92ecd0fe635c992856f4f7505fb09cc7c2b2.jpg	달콤한맛	감자과자
16	레드락 델리 라임과 후추 감자 칩 165gm	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9060/9ddc10fa9d8bd8490892b7bb2126a0a2bd131d9d6a24d3f7c39cb1f50d80.jpg	달콤한맛	감자과자
17	포테이토 크리스프 바비큐 맛(900g)+씨푸드 맛(900g	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3573/42e24bf2f6d81075ea7d93f2e505a9fc3291829325758f3c7e1d5e2e767e.jpg	달콤한맛	감자과자
18	Calbee 가루비 명란버터 맛 자가리코 52g 12개	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/68ce/0992ea9f7d474c56ff8f9a7c7dc5a558e6a29d717049c8fcd062f673bfd0.jpg	달콤한맛	감자과자
19	(미국과자) TGI Friday s 4 oz Cheddar Bacon Potato Skins Chips (3 Bags)	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3a2a/d0a6952889f2a11f26eb6fb2b4e337b7b6f57c93e6a8cbcae462c0577bc2.jpg	달콤한맛	감자과자
20	(미국과자) 테라 칩 스낵 사이즈 버라이어티 팩 24개입(1개입)	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3bc9/ee0de893cff00c7d41ab4296831cb7f8b30ce54ed068c7ecf40d410b60ef.jpg	달콤한맛	감자과자
21	레이즈 독특한맛 lays 3ea가재구이맛 스테이크 타코야끼 베이징구스맛	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e36f/2afa04f7bdc7b984ff4a8a2957c2caf62c2d64ab9da7f4b35a5e916fe452.png	달콤한맛	감자과자
22	가루비 포테이토 감자칩 단백한 맛 67g 12봉	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2322/d1962014249336303d1465cbff8e8bc39424065f8421b2a6ff6272b44481.jpeg	달콤한맛	감자과자
23	가루비 포테이토 감자 칩 바삭한 프라이드 치킨 맛 115g 12개	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5269/b962f0a8a0fc3102a13aa81cd2f9185a62f1c3d40f2686d90e8179d9f5d4.jpg	달콤한맛	감자과자
24	일본 가루비 잉카노 메자메 황금 감차칩 18g 8봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0579/ae359015dc1bb4a459c35d93f857fb1ff98e254e5f9bb083b72057a2b06d.jpg	달콤한맛	감자과자
25	(미국과자) TGI Friday s 4 oz Cheddar Bacon Potato Skins Chips (3 Bags)	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/89bd/7a5cc61f587f67d77da962e50be447d66f5ef37846674140b329b9a80acd.jpg	달콤한맛	감자과자
26	일본 가루비 포테이토팜 다시마 감자칩 15g 6봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2c8c/7a8225130176811915edcfef11e0867da50d3a7b0e784a23791d8695ae1d.jpg	달콤한맛	감자과자
